,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff
4191,WASP-41 b,535,0.85 Jupiters,11.6,2012,TOI-216.02,TOI-216,1,2.0,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),0.0,17.089,0.011,-0.015,0.0,0.1293,0.0067,-0.0051,0.0,7.69,1.62,-0.83,0.0,0.686,0.145,-0.074,0.0,30.0,20.0,-14.0,0,0.09439,0.06293,-0.04405,0.0,Mass,0.132,0.059,-0.023,0.0,25.9,2.2,-1.7,0.0,628,13.0,-11.0,0.0,1,,5026.0
4192,WASP-41 c,535,3.18 Jupiters,11.6,2015,TOI-220 b,TOI-220,1,1.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,10.695264,8.6e-05,-8.6e-05,0.0,0.08911,0.001,-0.001,0.0,3.03,0.15,-0.15,0.0,0.27,0.013,-0.013,0.0,13.8,1.0,-1.0,0,0.04342,0.00315,-0.00315,0.0,Mass,0.032,0.038,-0.023,0.0,18.14,,,,805,21.0,-21.0,0.0,0,K0 V,5298.0
4193,WASP-42 b,581,0.527 Jupiters,12.57,2012,TOI-2202 b,TOI-2202,1,2.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,11.9101,0.0022,-0.0036,0.0,0.09564,0.00156,-0.00161,0.0,11.321,5.851,-0.897,0.0,1.01,0.522,-0.08,0.0,310.83618,20.02319,-18.68831,0,0.978,0.063,-0.0588,0.0,Mass,0.042,0.0255,-0.0075,0.0,42.66,,,,652,,,,1,K8 V,5144.0
4194,WASP-43 b,261,1.78 Jupiters,12.4,2011,TOI-2202 c,TOI-2202,1,2.0,Transit Timing Variations,2021.0,Multiple Observatories,0.0,24.6744,0.0258,-0.0339,0.0,0.15544,0.00255,-0.00263,0.0,13.4,,,0.0,1.19,,,0.0,117.27868,32.73633,-26.57045,0,0.369,0.103,-0.0836,0.0,Mass,0.0622,0.0452,-0.0211,0.0,,,,,,,,,0,K8 V,5144.0
4195,WASP-44 b,1201,0.87 Jupiters,12.9,2011,TOI-237 b,TOI-237,1,1.0,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),0.0,5.436098,3.9e-05,-3.9e-05,0.0,0.0341,0.001,-0.001,0.0,1.44,0.12,-0.12,0.0,0.128,0.011,-0.011,0.0,2.67,,,0,0.00839,,,0.0,M-R relationship,0.0,,,0.0,3.7,0.5,-0.5,0.0,388,,,0.0,0,M4.5 V,3212.0
4196,WASP-45 b,693,0.964 Jupiters,12.0,2011,TOI-2406 b,TOI-2406,1,1.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,3.0766896,6.5e-06,-6.5e-06,0.0,0.0228,0.0016,-0.0016,0.0,2.94,0.17,-0.16,0.0,0.262,0.015,-0.014,0.0,8.96,,,0,0.0282,,,0.0,M-R relationship,0.26,0.27,-0.12,0.0,6.55,0.94,-0.8,0.0,447,15.0,-15.0,0.0,0,M4 V,3100.0
4197,WASP-46 b,1237,1.91 Jupiters,12.9,2011,TOI-251 b,TOI-251,1,1.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,4.93777,2.8e-05,-2.9e-05,0.0,0.05741,0.00023,-0.00017,0.0,2.74,0.18,-0.18,0.0,0.244,0.016,-0.016,0.0,317.83,,,1,1.0,,,1.0,Mass,0.0,,,0.0,277.59,,,,1041,,,,0,,5875.0
4198,WASP-47 b,870,1.14243 Jupiters,11.9,2012,TOI-257 b,TOI-257,1,1.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,18.38818,0.00085,-0.00084,0.0,0.1528,0.0016,-0.0017,0.0,7.163,0.146,-0.146,0.0,0.639,0.013,-0.013,0.0,43.86032,7.31005,-7.31005,0,0.138,0.023,-0.023,0.0,Mass,0.0,,,0.0,186.0,14.0,-12.0,0.0,1027,18.0,-18.0,0.0,0,,6095.0
4199,WASP-47 c,870,1.57 Jupiters,11.9,2015,TOI-269 b,TOI-269,1,1.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,3.6977104,3.7e-06,-3.7e-06,0.0,0.0345,0.0015,-0.0015,0.0,2.77,0.12,-0.12,0.0,0.247,0.011,-0.011,0.0,8.8,1.4,-1.4,0,0.02769,0.0044,-0.0044,0.0,Mass,0.425,0.082,-0.086,0.0,19.0,4.0,-3.3,0.0,531,25.0,-25.0,0.0,0,M2 V,3514.0
4200,WASP-47 d,870,13.1 Earths,11.9,2015,TOI-270 b,TOI-270,1,3.0,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),0.0,3.3601538,4.8e-06,-4.8e-06,0.0,0.03197,0.00022,-0.00022,0.0,1.206,0.039,-0.039,0.0,0.108,0.003,-0.003,0.0,1.58,0.26,-0.26,0,0.00497,0.00082,-0.00082,0.0,Mass,0.034,0.025,-0.025,0.0,22.17,,,,581,14.0,-14.0,0.0,0,M,3506.0
